업체명,위도,경도
라메르관광호텔,35.14048123,129.0622834
센스빌모텔,35.14077157,129.0621698
라온호텔,35.14032664,129.061896
와이,35.1406394,129.0617704
루이스호텔,35.14039166,129.0620139
금호펠리스,35.14019441,129.0616829
나포리모텔,35.13843013,129.0602848
리젠시모텔,35.13870614,129.0607582
나포리,35.13842423,129.0602808
스토리하우스,35.13844313,129.0604789
K7모텔,35.13855096,129.0605
허브모텔,35.13842203,129.0606193
해동모텔,35.14012607,129.0602694
리젠시모텔,35.13871811,129.0607673
리치모텔,35.1385407,129.0607998
삼성장여관,35.13613372,129.0556784
더디자인,35.14076661,129.056945
영모텔,35.13648271,129.0557433
대동여인숙,35.1402081,129.0560995
더디자인,35.14058208,129.0569841
브라운도트 호텔 범일점,35.14027189,129.056931
브라운도트호텔,35.14027189,129.056931
프린스모텔,35.1174461,129.0404349
송림장,35.13843727,129.0607677
힐모텔,35.12793217,129.0459675
힐모텔,35.12795883,129.0459622
꿈모텔,35.12952793,129.0475848
수정여관,35.12564541,129.0442417
초량리빙텔,35.12250494,129.0421433
보건탕,35.12542534,129.0430162
보영여관,35.12717796,129.0459749
경남여인숙,35.12754479,129.0457944
동구진로교육지원센터,35.12757021,129.0480407
월성여인숙,35.13032769,129.0496354
프라임관광호텔,35.13058708,129.0502138
동명여인숙,35.1302343,129.0495424
브라운도트 호텔 부산진역점,35.12952113,129.048421
영빈관모텔,35.12952093,129.0479497
청명여인숙,35.12961756,129.0480293
수정장여관,35.12531392,129.0435385
동원장여관,35.12564929,129.0436893
수정장여관,35.12531391,129.0435385
본모텔,35.13210928,129.0514041
경북여인숙,35.13397037,129.0546199
부산항힐링야영장,35.11408836,129.0503409
베스트인시티호텔,35.12030724,129.0414928
나우빌,35.12012003,129.040283
노떼라미아호텔,35.11184173,129.0397668
씨앤씨모텔,35.11310246,129.0370603
민트파라다이스,35.11304351,129.0373579
INN부산,35.1141472,129.0376759
씨엔씨여관,35.11309666,129.0370628
멕시멈호텔,35.11592723,129.0393263
마리나레지던스호텔,35.11553521,129.0388643
구봉여인숙,35.11515237,129.0390855
본역여인숙,35.11433791,129.0384915
물레,35.11267844,129.0375148
게스트하우스큐브,35.11462842,129.0385976
복성여관,35.11457684,129.0383635
남양장,35.1153894,129.0387808
장춘모텔,35.11340772,129.0380368
알프스모텔,35.1152711,129.0390936
크리스탈낮잠,35.11634374,129.0398186
대림장,35.11574613,129.0389543
거창여인숙,35.11294614,129.0377908
더월드,35.1125883,129.0377192
황금빌라,35.11299684,129.0378672
프리차,35.11615687,129.0341787
이바구캠프,35.11918333,129.0283125
이바구캠프,35.11915903,129.0285237
게스트하우스트라팔가,35.12314393,129.0350982
까꼬막체험센터,35.12298066,129.035773
이바구충전소,35.11736277,129.0346707
오름,35.11690236,129.0351089
세느모텔,35.11271338,129.0375962
동원여관,35.11292116,129.0365685
게스트하우스코리아 부산역점,35.11751607,129.0414816
새여관,35.11918692,129.041455
테마모텔,35.11913921,129.041251
웰컴부산,35.11934293,129.0414953
미라벨모텔,35.11366132,129.0384222
마리나레지던스,35.11371712,129.0369946
이데아호텔,35.11215514,129.0401919
모나코모텔,35.1126008,129.040072
부산역비즈니스호텔,35.11239691,129.0399828
팝콘호텔,35.11269459,129.0395025
오름 레지던스 호텔,35.1124026,129.0402156
이데아호텔,35.11212426,129.0401031
대원모텔,35.11663874,129.0379092
테레목호스텔,35.11564069,129.0383326
테레목호스텔,35.11563939,129.0383357
동일장모텔,35.11546379,129.0378214
동일장모텔,35.11546159,129.0378315
미래장,35.11507712,129.038941
미래장,35.11508233,129.0389429
온팍스레지던스,35.11319226,129.0405547
탑모텔,35.11335134,129.0403744
라마다앙코르부산역호텔,35.11430257,129.0403367
원웨이게스트하우스 부산점,35.11413947,129.0401455
코인모텔,35.11345391,129.0404196
호텔코코,35.11399908,129.0403372
힐모텔,35.11335134,129.0403744
오렌지게스트하우스 부산역점,35.11367076,129.0405183
모찌호스텔,35.11319844,129.0405223
아몬드호텔,35.11377512,129.0406566
탑모텔,35.11325689,129.040336
토요코인 부산역1,35.11415906,129.0407606
부산뷰호텔,35.11337896,129.0405489
퀸모텔,35.1158758,129.0391947
까무스모텔,35.11564503,129.0390421
부영장여관,35.11673159,129.0399836
청우여인숙,35.11636681,129.039451
더웨이호텔,35.11626509,129.0393245
서울모텔,35.11678074,129.0398553
호텔26,35.11667806,129.039755
서울여관,35.11684456,129.0398495
아리아모텔,35.11647811,129.0387307
브라운도트호텔,35.11634076,129.0383925
3.6.9 모텔,35.11660109,129.0413912
369모텔,35.11659428,129.0413948
부산인모텔,35.11652083,129.0415268
아스티호텔,35.11617411,129.0417928
파밀리에게스트하우스,35.11639371,129.041285
광장관광호텔,35.11619244,129.0413443
코리아나모텔,35.11724523,129.0399424
대구여관,35.1173101,129.0398184
은하모텔,35.11741119,129.0398661
소호스텔,35.11710372,129.0416127
첵앤아웃게스트하우스,35.11755611,129.0416017
숨게스트하우스,35.11757902,129.0416361
코리안모텔,35.11753814,129.0401639
태아장모텔,35.11769539,129.040114
프린스모텔,35.11744607,129.040435
진주여인숙,35.1178373,129.040405
프린스모텔,35.11744607,129.040435
보라장,35.11784224,129.0405127
목화모텔,35.11821419,129.0395666
더비에스호텔,35.11856186,129.0425935
센텀모텔,35.1184087,129.0425212
케이게스트,35.11810172,129.0423707
하운드호텔 부산역,35.11775044,129.0426829
플러스모텔,35.11875401,129.0409266
세종장여관,35.11949973,129.042628
장안여관,35.12055424,129.0431888
호텔그레이초량,35.12210939,129.0443324
호텔포레,35.12258841,129.0445878
호텔포레 부산역점,35.12257601,129.0446127
OJ모텔,35.1238101,129.0453933
동해장여관,35.11894293,129.039534
서채,35.11949676,129.0309317
무진장여관,35.11883781,129.0396469
황금여인숙,35.11659924,129.0388549
스마일모텔,35.11673391,129.0390275
단테하우스B,35.11663762,129.0389709
샤이어호텔,35.11763698,129.0399496
귀빈모텔,35.11570063,129.0387527
스마일모텔,35.11673391,129.0390275
디노호텔,35.11587351,129.0387715
마이호스텔 부산역점,35.11581904,129.0385736
콜모텔,35.11608219,129.0386183
궁중손칼국수,35.11678579,129.0390744
오션모텔,35.11560152,129.0386132
썬모텔,35.11595208,129.0384489
